year_month,year,month,carrier,carrier_name,airport_code,city,state,airport_full_name,airport_name_cleansed,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2015-01-01,2015,1,DL,Delta Air Lines Inc.,SFO,San Francisco,CA,"San Francisco, CA: San Francisco International",San Francisco International,622.0,88.0,26.43,7.55,44.04,0.0,9.97,6.0,2.0,4058.0,1024.0,409.0,1894.0,0.0,731.0
2015-01-01,2015,1,DL,Delta Air Lines Inc.,DEN,Denver,CO,"Denver, CO: Denver International",Denver International,555.0,83.0,33.94,4.57,28.95,1.0,14.53,5.0,1.0,3906.0,1759.0,296.0,1058.0,26.0,767.0
2015-01-01,2015,1,DL,Delta Air Lines Inc.,EWR,Newark,NJ,"Newark, NJ: Newark Liberty International",Newark Liberty International,410.0,74.0,21.5,1.83,35.8,0.0,14.86,22.0,1.0,5923.0,1520.0,51.0,3202.0,0.0,1150.0
2015-01-01,2015,1,DL,Delta Air Lines Inc.,LGA,New York,NY,"New York, NY: LaGuardia",LaGuardia,2216.0,517.0,87.59,17.59,277.26,0.0,134.57,130.0,10.0,27436.0,5560.0,1193.0,11663.0,0.0,9020.0
2015-01-01,2015,1,DL,Delta Air Lines Inc.,DFW,Dallas/Fort Worth,TX,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Dallas/Fort Worth International,407.0,47.0,26.85,1.87,7.64,0.0,10.65,0.0,0.0,2376.0,1566.0,97.0,283.0,0.0,430.0
2015-01-01,2015,1,DL,Delta Air Lines Inc.,MCO,Orlando,FL,"Orlando, FL: Orlando International",Orlando International,1371.0,200.0,69.54,15.68,71.86,0.0,42.92,18.0,1.0,11169.0,4616.0,1573.0,2573.0,0.0,2407.0
2015-01-01,2015,1,DL,Delta Air Lines Inc.,CLT,Charlotte,NC,"Charlotte, NC: Charlotte Douglas International",Charlotte Douglas International,517.0,72.0,28.85,4.3,26.13,0.0,12.71,0.0,1.0,3029.0,1322.0,255.0,758.0,0.0,694.0
2014-12-01,2014,12,AA,American Airlines Inc.,LAX,Los Angeles,CA,"Los Angeles, CA: Los Angeles International",Los Angeles International,2741.0,788.0,221.99,8.5,342.39,0.93,214.19,14.0,4.0,46366.0,17395.0,454.0,12084.0,20.0,16413.0
2014-12-01,2014,12,AA,American Airlines Inc.,DFW,Dallas/Fort Worth,TX,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Dallas/Fort Worth International,12878.0,2978.0,683.62,35.16,813.5,2.65,1443.07,154.0,38.0,205001.0,75746.0,3719.0,24982.0,75.0,100479.0
2014-12-01,2014,12,AA,American Airlines Inc.,SFO,San Francisco,CA,"San Francisco, CA: San Francisco International",San Francisco International,917.0,445.0,64.98,3.68,298.87,0.0,77.47,15.0,8.0,29908.0,3501.0,241.0,19678.0,0.0,6488.0
